,Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
3135,Europe,Slovakia,Beverages,Offline,C,1/17/2015,212978398,1/23/2015,3896,47.45,31.79,184865.2,123853.84,61011.36
3403,Europe,Slovakia,Office Supplies,Offline,M,6/7/2016,924897611,7/14/2016,6611,651.21,524.96,4305149.31,3470510.56,834638.75
3482,Europe,Slovakia,Meat,Offline,M,10/28/2015,100167262,11/20/2015,574,421.89,364.69,242164.86,209332.06,32832.8
3719,Europe,Slovakia,Household,Online,M,3/10/2010,415377461,4/7/2010,8276,668.27,502.54,5530602.52,4159021.04,1371581.48
3922,Europe,Slovakia,Personal Care,Offline,M,7/26/2017,219997203,8/24/2017,916,81.73,56.67,74864.68,51909.72,22954.96
4318,Europe,Slovakia,Fruits,Online,L,9/12/2012,350410068,10/7/2012,2981,9.33,6.92,27812.73,20628.52,7184.21
4346,Europe,Slovakia,Cereal,Offline,H,10/24/2015,202930629,12/3/2015,537,205.7,117.11,110460.9,62888.07,47572.83
4681,Europe,Slovakia,Cereal,Offline,H,2/13/2010,640817773,2/19/2010,1074,205.7,117.11,220921.8,125776.14,95145.66
4726,Europe,Slovakia,Household,Offline,L,12/8/2011,844640338,12/13/2011,6701,668.27,502.54,4478077.27,3367520.54,1110556.73
4765,Europe,Slovakia,Personal Care,Offline,H,11/15/2015,742806947,12/16/2015,1937,81.73,56.67,158311.01,109769.79,48541.22
5664,Europe,Slovakia,Meat,Offline,M,12/21/2013,688817298,1/27/2014,5200,421.89,364.69,2193828.0,1896388.0,297440.0
5706,Europe,Slovakia,Beverages,Offline,M,11/4/2014,386107051,12/10/2014,6511,47.45,31.79,308946.95,206984.69,101962.26
5787,Europe,Slovakia,Office Supplies,Online,C,2/21/2010,982170712,4/4/2010,4995,651.21,524.96,3252793.95,2622175.2,630618.75
5856,Europe,Slovakia,Meat,Online,L,2/13/2010,684505164,3/2/2010,9144,421.89,364.69,3857762.16,3334725.36,523036.8
5945,Europe,Slovakia,Cereal,Online,H,10/30/2011,784182488,11/6/2011,5879,205.7,117.11,1209310.3,688489.69,520820.61
6003,Europe,Slovakia,Baby Food,Online,M,12/9/2016,944909894,1/28/2017,8690,255.28,159.42,2218383.2,1385359.8,833023.4
6076,Europe,Slovakia,Personal Care,Online,C,6/27/2012,210484588,8/1/2012,5922,81.73,56.67,484005.06,335599.74,148405.32
6127,Europe,Slovakia,Clothes,Offline,L,11/5/2014,782914769,12/4/2014,733,109.28,35.84,80102.24,26270.72,53831.52
6237,Europe,Slovakia,Meat,Online,C,4/14/2012,755743348,5/24/2012,106,421.89,364.69,44720.34,38657.14,6063.2
6431,Europe,Slovakia,Cereal,Online,M,5/24/2016,223181951,6/16/2016,3354,205.7,117.11,689917.8,392786.94,297130.86
6663,Europe,Slovakia,Meat,Online,M,3/15/2010,578359639,4/6/2010,8325,421.89,364.69,3512234.25,3036044.25,476190.0
6715,Europe,Slovakia,Beverages,Online,L,4/7/2013,557178342,5/25/2013,308,47.45,31.79,14614.6,9791.32,4823.28
6830,Europe,Slovakia,Cosmetics,Online,L,9/17/2014,202733218,9/21/2014,2119,437.2,263.33,926426.8,557996.27,368430.53
7098,Europe,Slovakia,Beverages,Online,H,4/14/2017,324521815,4/25/2017,2072,47.45,31.79,98316.4,65868.88,32447.52
7300,Europe,Slovakia,Cosmetics,Offline,L,1/11/2011,270885360,1/12/2011,9852,437.2,263.33,4307294.4,2594327.16,1712967.24
7454,Europe,Slovakia,Cereal,Online,L,1/15/2014,463376986,1/23/2014,2402,205.7,117.11,494091.4,281298.22,212793.18
7717,Europe,Slovakia,Vegetables,Online,M,1/26/2013,690240800,2/10/2013,6446,154.06,90.93,993070.76,586134.78,406935.98
8345,Europe,Slovakia,Meat,Online,M,7/24/2015,677106988,8/14/2015,9859,421.89,364.69,4159413.51,3595478.71,563934.8
8383,Europe,Slovakia,Cereal,Offline,C,6/4/2017,995699346,6/8/2017,8418,205.7,117.11,1731582.6,985831.98,745750.62
8721,Europe,Slovakia,Cosmetics,Online,H,10/3/2010,403708779,11/20/2010,5254,437.2,263.33,2297048.8,1383535.82,913512.98
8773,Europe,Slovakia,Meat,Online,C,4/21/2011,491182267,5/27/2011,603,421.89,364.69,254399.67,219908.07,34491.6
8934,Europe,Slovakia,Clothes,Offline,C,7/7/2010,247251880,8/16/2010,6181,109.28,35.84,675459.68,221527.04,453932.64
8986,Europe,Slovakia,Baby Food,Online,M,3/13/2011,343349635,3/30/2011,3642,255.28,159.42,929729.76,580607.64,349122.12
9094,Europe,Slovakia,Personal Care,Offline,L,10/29/2010,487701404,12/9/2010,538,81.73,56.67,43970.74,30488.46,13482.28
9258,Europe,Slovakia,Baby Food,Offline,M,1/22/2017,199984920,2/7/2017,8837,255.28,159.42,2255909.36,1408794.54,847114.82
9492,Europe,Slovakia,Beverages,Online,L,9/17/2015,717651259,10/11/2015,7810,47.45,31.79,370584.5,248279.9,122304.6
9508,Europe,Slovakia,Baby Food,Offline,M,5/4/2011,511334884,5/6/2011,4210,255.28,159.42,1074728.8,671158.2,403570.6
9647,Europe,Slovakia,Personal Care,Online,H,1/21/2013,155128514,3/6/2013,4830,81.73,56.67,394755.9,273716.1,121039.8
9809,Europe,Slovakia,Baby Food,Online,M,11/24/2010,943824136,12/3/2010,7390,255.28,159.42,1886519.2,1178113.8,708405.4
9856,Europe,Slovakia,Baby Food,Offline,M,3/30/2013,259512794,4/22/2013,4457,255.28,159.42,1137782.96,710534.94,427248.02
9913,Europe,Slovakia,Office Supplies,Offline,L,12/11/2010,817525994,1/29/2011,2964,651.21,524.96,1930186.44,1555981.44,374205.0
10059,Europe,Slovakia,Cosmetics,Online,H,8/1/2016,196504056,8/22/2016,8772,437.2,263.33,3835118.4,2309930.76,1525187.64
11176,Europe,Slovakia,Personal Care,Online,L,2/26/2010,660970389,3/21/2010,4681,81.73,56.67,382578.13,265272.27,117305.86
11292,Europe,Slovakia,Personal Care,Online,L,3/27/2017,978689849,5/13/2017,4930,81.73,56.67,402928.9,279383.1,123545.8
11821,Europe,Slovakia,Fruits,Offline,L,6/13/2014,779672944,6/16/2014,1405,9.33,6.92,13108.65,9722.6,3386.05
12196,Europe,Slovakia,Office Supplies,Offline,L,3/5/2011,176746261,3/29/2011,2001,651.21,524.96,1303071.21,1050444.96,252626.25
12941,Europe,Slovakia,Clothes,Offline,C,4/29/2011,304665315,6/16/2011,6092,109.28,35.84,665733.76,218337.28,447396.48
13078,Europe,Slovakia,Meat,Online,M,6/4/2017,139386737,6/19/2017,6488,421.89,364.69,2737222.32,2366108.72,371113.6
13142,Europe,Slovakia,Snacks,Online,H,6/28/2011,595566546,7/13/2011,231,152.58,97.44,35245.98,22508.64,12737.34
13156,Europe,Slovakia,Personal Care,Offline,H,3/25/2012,109482467,4/28/2012,7150,81.73,56.67,584369.5,405190.5,179179.0
13276,Europe,Slovakia,Fruits,Online,C,12/31/2014,736084258,1/10/2015,2544,9.33,6.92,23735.52,17604.48,6131.04
13510,Europe,Slovakia,Vegetables,Online,H,6/6/2015,450045764,7/6/2015,7397,154.06,90.93,1139581.82,672609.21,466972.61
13635,Europe,Slovakia,Fruits,Offline,C,1/2/2017,366349256,2/10/2017,9741,9.33,6.92,90883.53,67407.72,23475.81
13789,Europe,Slovakia,Cereal,Offline,L,11/8/2011,403906190,12/11/2011,3672,205.7,117.11,755330.4,430027.92,325302.48
14251,Europe,Slovakia,Cosmetics,Online,L,2/26/2016,110412442,3/22/2016,2350,437.2,263.33,1027420.0,618825.5,408594.5
14274,Europe,Slovakia,Household,Online,L,2/23/2016,522608745,3/7/2016,396,668.27,502.54,264634.92,199005.84,65629.08
14303,Europe,Slovakia,Office Supplies,Offline,L,5/23/2012,947263371,6/11/2012,5137,651.21,524.96,3345265.77,2696719.52,648546.25
14438,Europe,Slovakia,Vegetables,Offline,L,9/6/2010,581840503,9/24/2010,8389,154.06,90.93,1292409.34,762811.77,529597.57
14652,Europe,Slovakia,Household,Offline,M,7/13/2017,156157195,7/15/2017,9239,668.27,502.54,6174146.53,4642967.06,1531179.47
14836,Europe,Slovakia,Personal Care,Offline,L,3/1/2016,598216140,4/7/2016,4304,81.73,56.67,351765.92,243907.68,107858.24
15082,Europe,Slovakia,Fruits,Offline,L,6/15/2015,969769465,6/20/2015,5190,9.33,6.92,48422.7,35914.8,12507.9
15083,Europe,Slovakia,Household,Online,C,5/2/2013,244363248,6/19/2013,1370,668.27,502.54,915529.9,688479.8,227050.1
15274,Europe,Slovakia,Vegetables,Offline,C,5/27/2010,492605769,6/10/2010,1849,154.06,90.93,284856.94,168129.57,116727.37
15276,Europe,Slovakia,Baby Food,Offline,C,2/27/2017,760013854,3/23/2017,3843,255.28,159.42,981041.04,612651.06,368389.98
15482,Europe,Slovakia,Beverages,Offline,H,8/18/2014,793061244,8/31/2014,3301,47.45,31.79,156632.45,104938.79,51693.66
15568,Europe,Slovakia,Household,Online,H,12/9/2014,505640876,1/19/2015,9226,668.27,502.54,6165459.02,4636434.04,1529024.98
15613,Europe,Slovakia,Vegetables,Offline,M,8/6/2012,996192872,9/16/2012,4463,154.06,90.93,687569.78,405820.59,281749.19
15863,Europe,Slovakia,Personal Care,Online,C,3/24/2013,140218007,5/2/2013,2479,81.73,56.67,202608.67,140484.93,62123.74
15887,Europe,Slovakia,Household,Online,C,3/16/2017,236907994,4/5/2017,5195,668.27,502.54,3471662.65,2610695.3,860967.35
15995,Europe,Slovakia,Clothes,Online,H,3/17/2012,624442136,4/24/2012,5159,109.28,35.84,563775.52,184898.56,378876.96
16073,Europe,Slovakia,Fruits,Online,C,4/18/2014,782816064,4/29/2014,1524,9.33,6.92,14218.92,10546.08,3672.84
16135,Europe,Slovakia,Vegetables,Offline,L,6/19/2013,427737081,7/18/2013,5762,154.06,90.93,887693.72,523938.66,363755.06
16266,Europe,Slovakia,Household,Offline,C,9/1/2013,607728755,10/3/2013,9299,668.27,502.54,6214242.73,4673119.46,1541123.27
16715,Europe,Slovakia,Beverages,Offline,C,9/25/2016,368110501,9/29/2016,932,47.45,31.79,44223.4,29628.28,14595.12
17062,Europe,Slovakia,Office Supplies,Online,H,4/10/2011,736775195,5/11/2011,7008,651.21,524.96,4563679.68,3678919.68,884760.0
17111,Europe,Slovakia,Snacks,Online,M,12/24/2013,363995778,1/12/2014,3294,152.58,97.44,502598.52,320967.36,181631.16
17177,Europe,Slovakia,Beverages,Online,L,12/29/2015,128944146,1/26/2016,6293,47.45,31.79,298602.85,200054.47,98548.38
17232,Europe,Slovakia,Personal Care,Offline,C,6/30/2010,346394050,7/7/2010,4552,81.73,56.67,372034.96,257961.84,114073.12
17295,Europe,Slovakia,Cosmetics,Offline,L,12/22/2014,525793492,12/28/2014,2834,437.2,263.33,1239024.8,746277.22,492747.58
17503,Europe,Slovakia,Personal Care,Offline,C,10/12/2011,997855412,11/20/2011,6446,81.73,56.67,526831.58,365294.82,161536.76
17532,Europe,Slovakia,Cereal,Offline,L,11/28/2015,762959563,1/14/2016,5544,205.7,117.11,1140400.8,649257.84,491142.96
17766,Europe,Slovakia,Cosmetics,Online,H,2/23/2012,171940600,3/11/2012,9899,437.2,263.33,4327842.8,2606703.67,1721139.13
17877,Europe,Slovakia,Cereal,Online,M,11/7/2016,741622483,11/30/2016,1428,205.7,117.11,293739.6,167233.08,126506.52
17884,Europe,Slovakia,Baby Food,Offline,L,12/11/2016,266968047,12/11/2016,633,255.28,159.42,161592.24,100912.86,60679.38
18654,Europe,Slovakia,Fruits,Online,M,7/1/2014,609687411,8/2/2014,8908,9.33,6.92,83111.64,61643.36,21468.28
18726,Europe,Slovakia,Vegetables,Online,C,1/2/2012,531825244,1/8/2012,7763,154.06,90.93,1195967.78,705889.59,490078.19
18866,Europe,Slovakia,Snacks,Online,H,3/11/2015,603021800,4/23/2015,6406,152.58,97.44,977427.48,624200.64,353226.84
19093,Europe,Slovakia,Household,Online,C,11/24/2013,866949021,11/30/2013,8336,668.27,502.54,5570698.72,4189173.44,1381525.28
19161,Europe,Slovakia,Personal Care,Online,C,7/21/2015,145615899,9/8/2015,9835,81.73,56.67,803814.55,557349.45,246465.1
19293,Europe,Slovakia,Personal Care,Online,M,12/31/2015,219940125,2/17/2016,4026,81.73,56.67,329044.98,228153.42,100891.56
19354,Europe,Slovakia,Clothes,Online,L,1/27/2015,142135035,1/30/2015,9770,109.28,35.84,1067665.6,350156.8,717508.8
19419,Europe,Slovakia,Household,Online,C,6/11/2014,601302182,6/24/2014,7533,668.27,502.54,5034077.91,3785633.82,1248444.09
19460,Europe,Slovakia,Office Supplies,Offline,H,7/9/2016,731377303,7/30/2016,9652,651.21,524.96,6285478.92,5066913.92,1218565.0
19682,Europe,Slovakia,Clothes,Online,M,6/10/2016,600076091,6/29/2016,4705,109.28,35.84,514162.4,168627.2,345535.2
19761,Europe,Slovakia,Beverages,Online,L,10/19/2011,439208352,11/12/2011,366,47.45,31.79,17366.7,11635.14,5731.56
19808,Europe,Slovakia,Office Supplies,Offline,M,1/19/2012,952406775,2/1/2012,7184,651.21,524.96,4678292.64,3771312.64,906980.0
19925,Europe,Slovakia,Cosmetics,Online,H,4/10/2012,573751389,4/10/2012,4641,437.2,263.33,2029045.2,1222114.53,806930.67
20054,Europe,Slovakia,Baby Food,Offline,L,5/28/2013,700485980,6/13/2013,8223,255.28,159.42,2099167.44,1310910.66,788256.78
20423,Europe,Slovakia,Vegetables,Offline,C,8/2/2016,636999166,8/26/2016,1063,154.06,90.93,163765.78,96658.59,67107.19
20534,Europe,Slovakia,Personal Care,Online,H,2/13/2017,430428302,3/21/2017,2154,81.73,56.67,176046.42,122067.18,53979.24
20708,Europe,Slovakia,Cosmetics,Offline,H,10/11/2015,139090621,10/24/2015,8861,437.2,263.33,3874029.2,2333367.13,1540662.07
21486,Europe,Slovakia,Beverages,Offline,M,5/4/2012,851503360,6/3/2012,7621,47.45,31.79,361616.45,242271.59,119344.86
21510,Europe,Slovakia,Vegetables,Offline,C,11/27/2012,927209460,12/18/2012,739,154.06,90.93,113850.34,67197.27,46653.07
21588,Europe,Slovakia,Beverages,Online,M,3/10/2013,294814956,3/24/2013,1152,47.45,31.79,54662.4,36622.08,18040.32
21683,Europe,Slovakia,Cosmetics,Offline,L,11/15/2011,304764020,11/29/2011,5301,437.2,263.33,2317597.2,1395912.33,921684.87
21790,Europe,Slovakia,Cereal,Online,L,11/2/2015,722654330,11/16/2015,8330,205.7,117.11,1713481.0,975526.3,737954.7
22367,Europe,Slovakia,Household,Offline,M,4/24/2010,507755315,6/3/2010,4936,668.27,502.54,3298580.72,2480537.44,818043.28
22469,Europe,Slovakia,Cereal,Offline,L,4/9/2010,352919328,5/23/2010,5527,205.7,117.11,1136903.9,647266.97,489636.93
22530,Europe,Slovakia,Baby Food,Online,M,3/19/2010,978788554,4/1/2010,4139,255.28,159.42,1056603.92,659839.38,396764.54
22559,Europe,Slovakia,Clothes,Offline,L,3/27/2012,244165837,4/9/2012,2952,109.28,35.84,322594.56,105799.68,216794.88
23054,Europe,Slovakia,Vegetables,Online,C,10/18/2016,907986819,12/3/2016,2332,154.06,90.93,359267.92,212048.76,147219.16
23371,Europe,Slovakia,Household,Online,L,11/18/2016,539716947,12/27/2016,3093,668.27,502.54,2066959.11,1554356.22,512602.89
23663,Europe,Slovakia,Beverages,Offline,L,1/11/2016,192784154,1/16/2016,7970,47.45,31.79,378176.5,253366.3,124810.2
24349,Europe,Slovakia,Clothes,Online,H,1/30/2010,839102113,3/14/2010,7817,109.28,35.84,854241.76,280161.28,574080.48
24552,Europe,Slovakia,Office Supplies,Offline,L,4/17/2013,133214652,4/29/2013,31,651.21,524.96,20187.51,16273.76,3913.75
24721,Europe,Slovakia,Cereal,Offline,C,2/1/2012,885184609,2/9/2012,4652,205.7,117.11,956916.4,544795.72,412120.68
24820,Europe,Slovakia,Fruits,Online,C,3/16/2010,359922683,4/5/2010,7975,9.33,6.92,74406.75,55187.0,19219.75
24991,Europe,Slovakia,Clothes,Online,C,7/3/2011,449115788,8/11/2011,2197,109.28,35.84,240088.16,78740.48,161347.68
25463,Europe,Slovakia,Cosmetics,Offline,L,5/23/2013,474806630,6/9/2013,4688,437.2,263.33,2049593.6,1234491.04,815102.56
25607,Europe,Slovakia,Fruits,Offline,H,9/23/2016,277114522,10/28/2016,3200,9.33,6.92,29856.0,22144.0,7712.0
25696,Europe,Slovakia,Cereal,Online,M,4/4/2017,332668006,4/14/2017,2710,205.7,117.11,557447.0,317368.1,240078.9
25827,Europe,Slovakia,Cosmetics,Offline,H,4/4/2012,498143994,5/1/2012,733,437.2,263.33,320467.6,193020.89,127446.71
26128,Europe,Slovakia,Office Supplies,Online,L,7/26/2012,254411017,8/10/2012,4728,651.21,524.96,3078920.88,2482010.88,596910.0
26210,Europe,Slovakia,Snacks,Offline,L,4/24/2013,759322917,4/26/2013,9380,152.58,97.44,1431200.4,913987.2,517213.2
26756,Europe,Slovakia,Household,Offline,H,9/23/2010,827672469,10/26/2010,5531,668.27,502.54,3696201.37,2779548.74,916652.63
27523,Europe,Slovakia,Snacks,Online,C,4/28/2010,864496839,5/18/2010,2680,152.58,97.44,408914.4,261139.2,147775.2
27836,Europe,Slovakia,Office Supplies,Offline,M,12/12/2016,532713592,12/24/2016,645,651.21,524.96,420030.45,338599.2,81431.25
28065,Europe,Slovakia,Clothes,Online,L,2/16/2011,699852120,3/15/2011,650,109.28,35.84,71032.0,23296.0,47736.0
28211,Europe,Slovakia,Fruits,Online,L,5/3/2012,982565534,5/14/2012,1831,9.33,6.92,17083.23,12670.52,4412.71
28224,Europe,Slovakia,Household,Offline,L,5/27/2013,962610328,6/25/2013,6642,668.27,502.54,4438649.34,3337870.68,1100778.66
28517,Europe,Slovakia,Baby Food,Offline,H,11/25/2011,911862504,12/5/2011,9233,255.28,159.42,2357000.24,1471924.86,885075.38
28763,Europe,Slovakia,Snacks,Offline,C,6/13/2010,956874692,7/15/2010,9340,152.58,97.44,1425097.2,910089.6,515007.6
28876,Europe,Slovakia,Baby Food,Online,L,6/25/2010,623906981,7/11/2010,6795,255.28,159.42,1734627.6,1083258.9,651368.7
28933,Europe,Slovakia,Clothes,Online,H,11/15/2014,315263688,12/18/2014,2386,109.28,35.84,260742.08,85514.24,175227.84
29254,Europe,Slovakia,Beverages,Online,H,5/27/2011,479653918,6/5/2011,9108,47.45,31.79,432174.6,289543.32,142631.28
29463,Europe,Slovakia,Cosmetics,Offline,H,1/8/2015,133749806,2/12/2015,8395,437.2,263.33,3670294.0,2210655.35,1459638.65
29620,Europe,Slovakia,Baby Food,Online,L,6/23/2013,740791213,8/11/2013,5437,255.28,159.42,1387957.36,866766.54,521190.82
29625,Europe,Slovakia,Vegetables,Online,C,10/22/2014,453329217,12/2/2014,9044,154.06,90.93,1393318.64,822370.92,570947.72
29633,Europe,Slovakia,Clothes,Offline,L,6/25/2016,885974252,8/11/2016,8324,109.28,35.84,909646.72,298332.16,611314.56
29658,Europe,Slovakia,Cereal,Online,M,12/1/2014,339037501,1/18/2015,7586,205.7,117.11,1560440.2,888396.46,672043.74
29693,Europe,Slovakia,Baby Food,Online,L,3/27/2010,376454102,5/4/2010,9989,255.28,159.42,2549991.92,1592446.38,957545.54
29799,Europe,Slovakia,Fruits,Offline,C,9/14/2012,572468221,10/10/2012,4923,9.33,6.92,45931.59,34067.16,11864.43
29992,Europe,Slovakia,Household,Offline,C,10/19/2015,393068778,11/15/2015,6641,668.27,502.54,4437981.07,3337368.14,1100612.93
30027,Europe,Slovakia,Office Supplies,Offline,M,1/12/2017,711323392,2/3/2017,5254,651.21,524.96,3421457.34,2758139.84,663317.5
30433,Europe,Slovakia,Meat,Offline,H,12/4/2016,235048043,1/11/2017,4794,421.89,364.69,2022540.66,1748323.86,274216.8
30937,Europe,Slovakia,Snacks,Online,H,8/9/2013,614732110,8/17/2013,1747,152.58,97.44,266557.26,170227.68,96329.58
31933,Europe,Slovakia,Baby Food,Online,C,7/23/2011,326438844,8/18/2011,9363,255.28,159.42,2390186.64,1492649.46,897537.18
32006,Europe,Slovakia,Household,Online,C,4/9/2015,646948230,5/3/2015,5213,668.27,502.54,3483691.51,2619741.02,863950.49
32035,Europe,Slovakia,Personal Care,Offline,H,7/2/2011,908620679,8/7/2011,9905,81.73,56.67,809535.65,561316.35,248219.3
33626,Europe,Slovakia,Office Supplies,Online,C,11/1/2012,799529445,11/18/2012,7385,651.21,524.96,4809185.85,3876829.6,932356.25
34029,Europe,Slovakia,Meat,Offline,H,3/21/2016,344477021,5/3/2016,7260,421.89,364.69,3062921.4,2647649.4,415272.0
34145,Europe,Slovakia,Office Supplies,Online,L,11/19/2011,289375436,12/8/2011,1477,651.21,524.96,961837.17,775365.92,186471.25
34161,Europe,Slovakia,Fruits,Online,M,3/28/2012,422536599,3/31/2012,6824,9.33,6.92,63667.92,47222.08,16445.84
34258,Europe,Slovakia,Meat,Online,H,2/6/2017,442195689,3/11/2017,4386,421.89,364.69,1850409.54,1599530.34,250879.2
34321,Europe,Slovakia,Household,Online,L,6/6/2017,274070107,7/21/2017,2290,668.27,502.54,1530338.3,1150816.6,379521.7
34597,Europe,Slovakia,Household,Offline,M,4/5/2010,455682694,4/15/2010,5490,668.27,502.54,3668802.3,2758944.6,909857.7
34619,Europe,Slovakia,Snacks,Online,H,9/24/2014,147278439,11/11/2014,1818,152.58,97.44,277390.44,177145.92,100244.52
34631,Europe,Slovakia,Household,Offline,M,11/27/2013,411065328,12/5/2013,2220,668.27,502.54,1483559.4,1115638.8,367920.6
34726,Europe,Slovakia,Vegetables,Offline,M,7/14/2014,586152637,8/21/2014,4446,154.06,90.93,684950.76,404274.78,280675.98
35079,Europe,Slovakia,Cereal,Offline,M,6/1/2012,126491963,7/13/2012,638,205.7,117.11,131236.6,74716.18,56520.42
35120,Europe,Slovakia,Household,Online,L,9/17/2012,160271918,10/25/2012,6877,668.27,502.54,4595692.79,3455967.58,1139725.21
35141,Europe,Slovakia,Cereal,Online,C,4/25/2015,298591935,5/7/2015,8844,205.7,117.11,1819210.8,1035720.84,783489.96
35226,Europe,Slovakia,Baby Food,Offline,C,4/29/2014,184102809,6/2/2014,8967,255.28,159.42,2289095.76,1429519.14,859576.62
35489,Europe,Slovakia,Household,Online,C,3/9/2016,808506906,4/19/2016,4015,668.27,502.54,2683104.05,2017698.1,665405.95
36457,Europe,Slovakia,Fruits,Offline,M,2/15/2014,182481896,3/8/2014,9303,9.33,6.92,86796.99,64376.76,22420.23
36489,Europe,Slovakia,Beverages,Offline,M,1/22/2012,540210473,2/16/2012,9139,47.45,31.79,433645.55,290528.81,143116.74
36683,Europe,Slovakia,Cosmetics,Online,H,3/8/2017,882929837,3/14/2017,7414,437.2,263.33,3241400.8,1952328.62,1289072.18
37153,Europe,Slovakia,Personal Care,Online,L,9/21/2015,130705392,11/4/2015,7485,81.73,56.67,611749.05,424174.95,187574.1
37376,Europe,Slovakia,Snacks,Offline,L,3/28/2017,803940284,4/1/2017,2650,152.58,97.44,404337.0,258216.0,146121.0
38512,Europe,Slovakia,Beverages,Online,C,1/6/2017,679403388,1/15/2017,9415,47.45,31.79,446741.75,299302.85,147438.9
38548,Europe,Slovakia,Baby Food,Offline,C,5/19/2014,236175429,6/1/2014,8413,255.28,159.42,2147670.64,1341200.46,806470.18
38687,Europe,Slovakia,Vegetables,Offline,L,8/25/2015,265149724,8/28/2015,2550,154.06,90.93,392853.0,231871.5,160981.5
38916,Europe,Slovakia,Beverages,Offline,L,3/21/2016,388164412,3/24/2016,5330,47.45,31.79,252908.5,169440.7,83467.8
38973,Europe,Slovakia,Snacks,Online,C,5/18/2010,916569459,7/7/2010,2126,152.58,97.44,324385.08,207157.44,117227.64
39092,Europe,Slovakia,Beverages,Online,H,7/25/2011,635871779,9/11/2011,7445,47.45,31.79,353265.25,236676.55,116588.7
39344,Europe,Slovakia,Vegetables,Online,H,10/17/2014,599779975,11/3/2014,7078,154.06,90.93,1090436.68,643602.54,446834.14
39847,Europe,Slovakia,Cosmetics,Offline,L,5/20/2011,622483479,6/27/2011,5549,437.2,263.33,2426022.8,1461218.17,964804.63
39901,Europe,Slovakia,Vegetables,Online,C,9/15/2011,232299745,11/3/2011,1511,154.06,90.93,232784.66,137395.23,95389.43
39913,Europe,Slovakia,Snacks,Online,M,6/30/2012,257793176,8/13/2012,5584,152.58,97.44,852006.72,544104.96,307901.76
40069,Europe,Slovakia,Personal Care,Offline,M,2/5/2010,386839616,3/20/2010,3294,81.73,56.67,269218.62,186670.98,82547.64
40300,Europe,Slovakia,Office Supplies,Online,C,1/26/2015,689014708,2/16/2015,3619,651.21,524.96,2356728.99,1899830.24,456898.75
40635,Europe,Slovakia,Cereal,Online,L,6/13/2014,867047727,7/7/2014,7545,205.7,117.11,1552006.5,883594.95,668411.55
40875,Europe,Slovakia,Cosmetics,Online,L,10/2/2016,796838223,10/12/2016,993,437.2,263.33,434139.6,261486.69,172652.91
40934,Europe,Slovakia,Household,Offline,H,7/29/2015,355906665,7/31/2015,9546,668.27,502.54,6379305.42,4797246.84,1582058.58
41518,Europe,Slovakia,Meat,Online,H,6/6/2014,922502505,7/8/2014,7846,421.89,364.69,3310148.94,2861357.74,448791.2
41707,Europe,Slovakia,Household,Online,C,12/7/2013,930789029,1/10/2014,13,668.27,502.54,8687.51,6533.02,2154.49
41910,Europe,Slovakia,Office Supplies,Online,H,7/15/2016,806984698,8/29/2016,3560,651.21,524.96,2318307.6,1868857.6,449450.0
41957,Europe,Slovakia,Fruits,Offline,C,4/12/2014,794583451,4/20/2014,3755,9.33,6.92,35034.15,25984.6,9049.55
